Length	Field
2.0852085200E+00	1.8092105700E+00
2.1002100200E+00	1.8093899800E+00
2.1152115200E+00	1.8095694000E+00
2.1302130200E+00	1.8097488100E+00
2.1452145200E+00	1.8099282300E+00
2.1602160200E+00	1.8101076400E+00
2.1752175200E+00	1.8102870600E+00
2.1902190200E+00	1.8104664800E+00
2.2052205200E+00	1.8106458900E+00
2.2202220200E+00	1.8108253100E+00
2.2352235200E+00	1.8110032200E+00
2.2502250200E+00	1.8111762900E+00
2.2652265200E+00	1.8113493700E+00
2.2802280200E+00	1.8115224400E+00
2.2952295200E+00	1.8116955200E+00
2.3102310200E+00	1.8118686000E+00
2.3252325200E+00	1.8120416800E+00
2.3402340200E+00	1.8122147700E+00
2.3552355200E+00	1.8123878500E+00
2.3702370200E+00	1.8125609400E+00
2.3852385200E+00	1.8127340300E+00
2.4002400200E+00	1.8129071200E+00
2.4152415200E+00	1.8130802100E+00
2.4302430200E+00	1.8132533100E+00
2.4452445200E+00	1.8134264100E+00
2.4602460200E+00	1.8135995100E+00
2.4752475200E+00	1.8137726100E+00
2.4902490200E+00	1.8139457100E+00
2.5052505300E+00	1.8141188200E+00
2.5202520300E+00	1.8142919200E+00
2.5352535300E+00	1.8144650300E+00
2.5502550300E+00	1.8146381500E+00
2.5652565300E+00	1.8148112600E+00
2.5802580300E+00	1.8149843700E+00
2.5952595300E+00	1.8151574900E+00
2.6102610300E+00	1.8153306100E+00
2.6252625300E+00	1.8155037300E+00
2.6402640300E+00	1.8156768600E+00
2.6552655300E+00	1.8158499800E+00
2.6702670300E+00	1.8160231100E+00
2.6852685300E+00	1.8161962400E+00
2.7002700300E+00	1.8163693700E+00
2.7152715300E+00	1.8165425000E+00
2.7302730300E+00	1.8167156400E+00
2.7452745300E+00	1.8168887700E+00
2.7602760300E+00	1.8170619100E+00
2.7752775300E+00	1.8172350500E+00
2.7902790300E+00	1.8174082000E+00
2.8052805300E+00	1.8175813400E+00
2.8202820300E+00	1.8177544900E+00
2.8352835300E+00	1.8179276400E+00
2.8502850300E+00	1.8181007900E+00
2.8652865300E+00	1.8182739400E+00
2.8802880300E+00	1.8184471000E+00
2.8952895300E+00	1.8186202500E+00
2.9102910300E+00	1.8187934100E+00
2.9252925300E+00	1.8189665700E+00
2.9402940300E+00	1.8191397400E+00
2.9552955300E+00	1.8193129000E+00
2.9702970300E+00	1.8194860700E+00
2.9852985300E+00	1.8196592400E+00
3.0003000300E+00	1.8198324100E+00
3.0153015300E+00	1.8200055800E+00
3.0303030300E+00	1.8201787500E+00
3.0453045300E+00	1.8203519300E+00
3.0603060300E+00	1.8205251100E+00
3.0753075300E+00	1.8206982900E+00
3.0903090300E+00	1.8208714700E+00
3.1053105300E+00	1.8210446600E+00
3.1203120300E+00	1.8212178400E+00
3.1353135300E+00	1.8213910300E+00
3.1503150300E+00	1.8215642200E+00
3.1653165300E+00	1.8217374100E+00
3.1803180300E+00	1.8219106100E+00
3.1953195300E+00	1.8220838000E+00
3.2103210300E+00	1.8222570000E+00
3.2253225300E+00	1.8224302000E+00
3.2403240300E+00	1.8226034000E+00
3.2553255300E+00	1.8227766100E+00
3.2703270300E+00	1.8229498100E+00
3.2853285300E+00	1.8231230200E+00
3.3003300300E+00	1.8232962300E+00
3.3153315300E+00	1.8234694400E+00
3.3303330300E+00	1.8236426600E+00
3.3453345300E+00	1.8238158700E+00
3.3603360300E+00	1.8239890900E+00
3.3753375300E+00	1.8241623100E+00
3.3903390300E+00	1.8243355300E+00
3.4053405300E+00	1.8245087500E+00
3.4203420300E+00	1.8246819800E+00
3.4353435300E+00	1.8248552100E+00
3.4503450300E+00	1.8250284400E+00
3.4653465300E+00	1.8252016700E+00
3.4803480300E+00	1.8253749000E+00
3.4953495300E+00	1.8255481400E+00
3.5103510400E+00	1.8257213700E+00
3.5253525400E+00	1.8258946100E+00
3.5403540400E+00	1.8260678500E+00
3.5553555400E+00	1.8262411000E+00
3.5703570400E+00	1.8264143400E+00
3.5853585400E+00	1.8265875900E+00
3.6003600400E+00	1.8267608400E+00
3.6153615400E+00	1.8269340900E+00
3.6303630400E+00	1.8271073400E+00
3.6453645400E+00	1.8272805900E+00
3.6603660400E+00	1.8274538500E+00
3.6753675400E+00	1.8276271100E+00
3.6903690400E+00	1.8278003700E+00
3.7053705400E+00	1.8279736300E+00
3.7203720400E+00	1.8281469000E+00
3.7353735400E+00	1.8283201600E+00
3.7503750400E+00	1.8284934300E+00
3.7653765400E+00	1.8286667000E+00
3.7803780400E+00	1.8288399700E+00
3.7953795400E+00	1.8290132500E+00
3.8103810400E+00	1.8291865200E+00
3.8253825400E+00	1.8293598000E+00
3.8403840400E+00	1.8295330800E+00
3.8553855400E+00	1.8297063600E+00
3.8703870400E+00	1.8298796500E+00
3.8853885400E+00	1.8300529300E+00
3.9003900400E+00	1.8302262200E+00
3.9153915400E+00	1.8303995100E+00
3.9303930400E+00	1.8305728000E+00
3.9453945400E+00	1.8307460900E+00
3.9603960400E+00	1.8309193900E+00
3.9753975400E+00	1.8310926900E+00
3.9903990400E+00	1.8312659800E+00
4.0054005400E+00	1.8314392900E+00
4.0204020400E+00	1.8316125900E+00
4.0354035400E+00	1.8317858900E+00
4.0504050400E+00	1.8319592000E+00
4.0654065400E+00	1.8321325100E+00
4.0804080400E+00	1.8323058200E+00
4.0954095400E+00	1.8324791300E+00
4.1104110400E+00	1.8326524500E+00
4.1254125400E+00	1.8328257600E+00
4.1404140400E+00	1.8329990800E+00
4.1554155400E+00	1.8331724000E+00
4.1704170400E+00	1.8333457200E+00
4.1854185400E+00	1.8335190500E+00
4.2004200400E+00	1.8336923700E+00
4.2154215400E+00	1.8338657000E+00
4.2304230400E+00	1.8340390300E+00
4.2454245400E+00	1.8342123600E+00
4.2604260400E+00	1.8343857000E+00
4.2754275400E+00	1.8345590300E+00
4.2904290400E+00	1.8347323700E+00
4.3054305400E+00	1.8349057100E+00
4.3204320400E+00	1.8350790500E+00
4.3354335400E+00	1.8352683600E+00
4.3504350400E+00	1.8354790300E+00
4.3654365400E+00	1.8356897000E+00
4.3804380400E+00	1.8359003700E+00
4.3954395400E+00	1.8361110400E+00
4.4104410400E+00	1.8363217100E+00
4.4254425400E+00	1.8365323800E+00
4.4404440400E+00	1.8367430500E+00
4.4554455400E+00	1.8369537200E+00
4.4704470400E+00	1.8371643900E+00
4.4854485400E+00	1.8373750700E+00
4.5004500500E+00	1.8375857400E+00
4.5154515500E+00	1.8377964100E+00
4.5304530500E+00	1.8380070800E+00
4.5454545500E+00	1.8382177600E+00
4.5604560500E+00	1.8384284300E+00
4.5754575500E+00	1.8386391100E+00
4.5904590500E+00	1.8388497800E+00
4.6054605500E+00	1.8390604500E+00
4.6204620500E+00	1.8392711300E+00
4.6354635500E+00	1.8394818100E+00
4.6504650500E+00	1.8396924800E+00
4.6654665500E+00	1.8399031600E+00
4.6804680500E+00	1.8401138300E+00
4.6954695500E+00	1.8403245100E+00
4.7104710500E+00	1.8405351900E+00
4.7254725500E+00	1.8407458600E+00
4.7404740500E+00	1.8409565400E+00
4.7554755500E+00	1.8411672200E+00
4.7704770500E+00	1.8413779000E+00
4.7854785500E+00	1.8415885700E+00
4.8004800500E+00	1.8417992500E+00
4.8154815500E+00	1.8420099300E+00
4.8304830500E+00	1.8422206100E+00
4.8454845500E+00	1.8424312900E+00
4.8604860500E+00	1.8426419700E+00
4.8754875500E+00	1.8428526500E+00
4.8904890500E+00	1.8430633300E+00
4.9054905500E+00	1.8432740100E+00
4.9204920500E+00	1.8434846900E+00
4.9354935500E+00	1.8436953700E+00
4.9504950500E+00	1.8439060500E+00
4.9654965500E+00	1.8441167400E+00
4.9804980500E+00	1.8443274200E+00
4.9954995500E+00	1.8445381000E+00
5.0105010500E+00	1.8447487800E+00
5.0255025500E+00	1.8449594700E+00
5.0405040500E+00	1.8451701500E+00
5.0555055500E+00	1.8453808300E+00
5.0705070500E+00	1.8455915200E+00
5.0855085500E+00	1.8458022000E+00
5.1005100500E+00	1.8460128800E+00
5.1155115500E+00	1.8462235700E+00
5.1305130500E+00	1.8464342500E+00
5.1455145500E+00	1.8466449400E+00
5.1605160500E+00	1.8468556200E+00
5.1755175500E+00	1.8470663100E+00
5.1905190500E+00	1.8472770000E+00
5.2055205500E+00	1.8474876800E+00
5.2205220500E+00	1.8476983700E+00
5.2355235500E+00	1.8479090600E+00
5.2505250500E+00	1.8481197400E+00
5.2655265500E+00	1.8483304300E+00
5.2805280500E+00	1.8485411200E+00
5.2955295500E+00	1.8487518100E+00
5.3105310500E+00	1.8489625000E+00
5.3255325500E+00	1.8491731900E+00
5.3405340500E+00	1.8493838700E+00
5.3555355500E+00	1.8495945600E+00
5.3705370500E+00	1.8498052500E+00
5.3855385500E+00	1.8500159400E+00
5.4005400500E+00	1.8502266300E+00
5.4155415500E+00	1.8504373200E+00
5.4305430500E+00	1.8506480100E+00
5.4455445500E+00	1.8508587100E+00
5.4605460500E+00	1.8510694000E+00
5.4755475500E+00	1.8512800900E+00
5.4905490500E+00	1.8514907800E+00
5.5055505600E+00	1.8517014700E+00
