Length	Field
2.0852085200E+00	6.7376014800E-01
2.1002100200E+00	6.7380344100E-01
2.1152115200E+00	6.7384673400E-01
2.1302130200E+00	6.7389002700E-01
2.1452145200E+00	6.7393332000E-01
2.1602160200E+00	6.7397661400E-01
2.1752175200E+00	6.7401990800E-01
2.1902190200E+00	6.7406320200E-01
2.2052205200E+00	6.7410649600E-01
2.2202220200E+00	6.7414979100E-01
2.2352235200E+00	6.7419308500E-01
2.2502250200E+00	6.7423638000E-01
2.2652265200E+00	6.7427967600E-01
2.2802280200E+00	6.7434784700E-01
2.2952295200E+00	6.7441928900E-01
2.3102310200E+00	6.7449073000E-01
2.3252325200E+00	6.7456217100E-01
2.3402340200E+00	6.7463361200E-01
2.3552355200E+00	6.7470505300E-01
2.3702370200E+00	6.7477649500E-01
2.3852385200E+00	6.7484793600E-01
2.4002400200E+00	6.7491937700E-01
2.4152415200E+00	6.7499081900E-01
2.4302430200E+00	6.7506255900E-01
2.4452445200E+00	6.7516284100E-01
2.4602460200E+00	6.7526312200E-01
2.4752475200E+00	6.7536340300E-01
2.4902490200E+00	6.7546368500E-01
2.5052505300E+00	6.7556396600E-01
2.5202520300E+00	6.7566424700E-01
2.5352535300E+00	6.7576452900E-01
2.5502550300E+00	6.7586481000E-01
2.5652565300E+00	6.7596509100E-01
2.5802580300E+00	6.7606537300E-01
2.5952595300E+00	6.7616565400E-01
2.6102610300E+00	6.7626593600E-01
2.6252625300E+00	6.7636621700E-01
2.6402640300E+00	6.7646649800E-01
2.6552655300E+00	6.7656678000E-01
2.6702670300E+00	6.7666706100E-01
2.6852685300E+00	6.7676734300E-01
2.7002700300E+00	6.7686762400E-01
2.7152715300E+00	6.7696790500E-01
2.7302730300E+00	6.7706818700E-01
2.7452745300E+00	6.7716846800E-01
2.7602760300E+00	6.7726875000E-01
2.7752775300E+00	6.7736903100E-01
2.7902790300E+00	6.7746931300E-01
2.8052805300E+00	6.7756959400E-01
2.8202820300E+00	6.7766987600E-01
2.8352835300E+00	6.7777015700E-01
2.8502850300E+00	6.7787043900E-01
2.8652865300E+00	6.7797072000E-01
2.8802880300E+00	6.7807100200E-01
2.8952895300E+00	6.7817128300E-01
2.9102910300E+00	6.7827156500E-01
2.9252925300E+00	6.7837184600E-01
2.9402940300E+00	6.7847212800E-01
2.9552955300E+00	6.7857240900E-01
2.9702970300E+00	6.7867269100E-01
2.9852985300E+00	6.7877297200E-01
3.0003000300E+00	6.7887325400E-01
3.0153015300E+00	6.7897353500E-01
3.0303030300E+00	6.7907381700E-01
3.0453045300E+00	6.7917409800E-01
3.0603060300E+00	6.7927438000E-01
3.0753075300E+00	6.7937466200E-01
3.0903090300E+00	6.7947494300E-01
3.1053105300E+00	6.7957522500E-01
3.1203120300E+00	6.7967230900E-01
3.1353135300E+00	6.7976666100E-01
3.1503150300E+00	6.7986101400E-01
3.1653165300E+00	6.7995536700E-01
3.1803180300E+00	6.8004971900E-01
3.1953195300E+00	6.8014407200E-01
3.2103210300E+00	6.8023842500E-01
3.2253225300E+00	6.8034045800E-01
3.2403240300E+00	6.8044268300E-01
3.2553255300E+00	6.8054491100E-01
3.2703270300E+00	6.8064714000E-01
3.2853285300E+00	6.8074937100E-01
3.3003300300E+00	6.8085160400E-01
3.3153315300E+00	6.8095383800E-01
3.3303330300E+00	6.8105607500E-01
3.3453345300E+00	6.8115831300E-01
3.3603360300E+00	6.8126055300E-01
3.3753375300E+00	6.8136279500E-01
3.3903390300E+00	6.8146503900E-01
3.4053405300E+00	6.8156728400E-01
3.4203420300E+00	6.8166953100E-01
3.4353435300E+00	6.8177178000E-01
3.4503450300E+00	6.8187403100E-01
3.4653465300E+00	6.8197628400E-01
3.4803480300E+00	6.8207853800E-01
3.4953495300E+00	6.8218079400E-01
3.5103510400E+00	6.8228305200E-01
3.5253525400E+00	6.8238531200E-01
3.5403540400E+00	6.8248757300E-01
3.5553555400E+00	6.8258983700E-01
3.5703570400E+00	6.8269210200E-01
3.5853585400E+00	6.8279436900E-01
3.6003600400E+00	6.8289663700E-01
3.6153615400E+00	6.8299890800E-01
3.6303630400E+00	6.8310118000E-01
3.6453645400E+00	6.8320345400E-01
3.6603660400E+00	6.8330573000E-01
3.6753675400E+00	6.8340800700E-01
3.6903690400E+00	6.8351028700E-01
3.7053705400E+00	6.8361256800E-01
3.7203720400E+00	6.8371485100E-01
3.7353735400E+00	6.8381713600E-01
3.7503750400E+00	6.8389240000E-01
3.7653765400E+00	6.8394956400E-01
3.7803780400E+00	6.8400672800E-01
3.7953795400E+00	6.8406389200E-01
3.8103810400E+00	6.8412105600E-01
3.8253825400E+00	6.8417822000E-01
3.8403840400E+00	6.8423538500E-01
3.8553855400E+00	6.8429254900E-01
3.8703870400E+00	6.8434971300E-01
3.8853885400E+00	6.8440687800E-01
3.9003900400E+00	6.8446404200E-01
3.9153915400E+00	6.8452120700E-01
3.9303930400E+00	6.8457837100E-01
3.9453945400E+00	6.8463553500E-01
3.9603960400E+00	6.8469270000E-01
3.9753975400E+00	6.8474986400E-01
3.9903990400E+00	6.8480702900E-01
4.0054005400E+00	6.8486419400E-01
4.0204020400E+00	6.8492135800E-01
4.0354035400E+00	6.8497852300E-01
4.0504050400E+00	6.8503568700E-01
4.0654065400E+00	6.8509285200E-01
4.0804080400E+00	6.8515001700E-01
4.0954095400E+00	6.8520718200E-01
4.1104110400E+00	6.8526434600E-01
4.1254125400E+00	6.8532151100E-01
4.1404140400E+00	6.8537867600E-01
4.1554155400E+00	6.8543584100E-01
4.1704170400E+00	6.8549300600E-01
4.1854185400E+00	6.8555017100E-01
4.2004200400E+00	6.8560733600E-01
4.2154215400E+00	6.8566450100E-01
4.2304230400E+00	6.8572166600E-01
4.2454245400E+00	6.8577883100E-01
4.2604260400E+00	6.8583599600E-01
