Length	Field
0.000000000E+00	0.000000000E+00
2.500250030E-03	2.753970180E-03
5.000500050E-03	2.779040830E-03
7.500750080E-03	2.806067720E-03
1.000100010E-02	2.834994890E-03
1.250125010E-02	2.865764810E-03
1.500150020E-02	2.898318780E-03
1.750175020E-02	2.926694490E-03
2.000200020E-02	2.953210490E-03
2.250225020E-02	2.976957080E-03
2.500250030E-02	2.994458170E-03
2.750275030E-02	3.018197670E-03
3.000300030E-02	3.048029820E-03
3.250325030E-02	3.083777820E-03
3.500350040E-02	3.125238650E-03
3.750375040E-02	3.172188340E-03
4.000400040E-02	3.224387110E-03
4.250425040E-02	3.281584500E-03
4.500450050E-02	3.343523980E-03
4.750475050E-02	3.442254340E-03
5.000500050E-02	3.553588700E-03
5.250525050E-02	3.667647490E-03
5.500550060E-02	3.799339820E-03
5.750575060E-02	3.932258010E-03
6.000600060E-02	4.065753760E-03
6.250625060E-02	4.199771980E-03
6.500650070E-02	4.334264230E-03
6.750675070E-02	4.469187690E-03
7.000700070E-02	4.604504460E-03
7.250725070E-02	4.740180870E-03
7.500750080E-02	4.876186890E-03
7.750775080E-02	5.012495690E-03
8.000800080E-02	5.149083220E-03
8.250825080E-02	5.285927880E-03
8.500850090E-02	5.423010200E-03
8.750875090E-02	5.560312610E-03
9.000900090E-02	5.697819190E-03
9.250925090E-02	5.835515510E-03
9.500950100E-02	5.973388460E-03
9.750975100E-02	6.111426070E-03
1.000100010E-01	6.252414960E-03
1.025102510E-01	6.398952580E-03
1.050105010E-01	6.546689930E-03
1.075107510E-01	6.695547600E-03
1.100110010E-01	6.845452500E-03
1.125112510E-01	6.996337320E-03
1.150115010E-01	7.148140000E-03
1.175117510E-01	7.300803300E-03
1.200120010E-01	7.454274330E-03
1.225122510E-01	7.608504210E-03
1.250125010E-01	7.763447730E-03
1.275127510E-01	7.919062990E-03
1.300130010E-01	8.075311160E-03
1.325132510E-01	8.232156200E-03
1.350135010E-01	8.389564630E-03
1.375137510E-01	8.547505330E-03
1.400140010E-01	8.705949330E-03
1.425142510E-01	8.864869640E-03
1.450145010E-01	9.024241100E-03
1.475147510E-01	9.184040220E-03
1.500150020E-01	9.344245060E-03
1.525152520E-01	9.504835110E-03
1.550155020E-01	9.686860660E-03
1.575157520E-01	9.872144160E-03
1.600160020E-01	1.005811630E-02
1.625162520E-01	1.024473950E-02
1.650165020E-01	1.043197900E-02
1.675167520E-01	1.061980200E-02
1.700170020E-01	1.080817820E-02
1.725172520E-01	1.099707910E-02
1.750175020E-01	1.118647820E-02
1.775177520E-01	1.137635050E-02
1.800180020E-01	1.156667290E-02
1.825182520E-01	1.175742330E-02
1.850185020E-01	1.193737870E-02
1.875187520E-01	1.210208110E-02
1.900190020E-01	1.226706000E-02
1.925192520E-01	1.243230450E-02
1.950195020E-01	1.259780410E-02
1.975197520E-01	1.276354890E-02
2.000200020E-01	1.292952950E-02
2.025202520E-01	1.309573690E-02
2.050205020E-01	1.326216250E-02
2.075207520E-01	1.342879840E-02
2.100210020E-01	1.359563660E-02
2.125212520E-01	1.376266990E-02
2.150215020E-01	1.392989130E-02
2.175217520E-01	1.409729410E-02
2.200220020E-01	1.426487180E-02
2.225222520E-01	1.443261840E-02
2.250225020E-01	1.460052800E-02
2.275227520E-01	1.476859520E-02
2.300230020E-01	1.493681450E-02
2.325232520E-01	1.510518100E-02
2.350235020E-01	1.527368960E-02
2.375237520E-01	1.544233590E-02
2.400240020E-01	1.561111530E-02
2.425242520E-01	1.578002350E-02
2.450245020E-01	1.594905650E-02
2.475247520E-01	1.611821030E-02
2.500250030E-01	1.628748110E-02
2.525252530E-01	1.645686540E-02
2.550255030E-01	1.662635980E-02
2.575257530E-01	1.679710160E-02
2.600260030E-01	1.696848110E-02
2.625262530E-01	1.713998270E-02
2.650265030E-01	1.731160260E-02
2.675267530E-01	1.748333750E-02
2.700270030E-01	1.765518390E-02
2.725272530E-01	1.782713860E-02
2.750275030E-01	1.799919850E-02
2.775277530E-01	1.817136070E-02
2.800280030E-01	1.834362220E-02
2.825282530E-01	1.851598030E-02
2.850285030E-01	1.868843230E-02
2.875287530E-01	1.886097560E-02
